-92.5,14.5, ELEV ,2989,103, NAMERICA 
-92,14, ELEV ,2996,30, NAMERICA 
-92,14.5, ELEV ,2989,1317, NAMERICA 
-91.5,14, ELEV ,2996,115, NAMERICA 
-91.5,14.5, ELEV ,2989,1913, NAMERICA 
-91,14, ELEV ,2996,620, NAMERICA 
-91,14.5, ELEV ,2989,1670, NAMERICA 
-90.5,13.5, ELEV ,3003,51, NAMERICA 
-90.5,14, ELEV ,2996,1026, NAMERICA 
-90.5,14.5, ELEV ,2989,1229, NAMERICA 
-90,13.5, ELEV ,3003,494, NAMERICA 
-90,14, ELEV ,2996,901, NAMERICA 
-90,14.5, ELEV ,2989,897, NAMERICA 
-89.5,13.5, ELEV ,3003,535, NAMERICA 
-89.5,14, ELEV ,2996,938, NAMERICA 
-89.5,14.5, ELEV ,2989,1138, NAMERICA 
-89,13, ELEV ,3009,41, NAMERICA 
-89,13.5, ELEV ,3003,430, NAMERICA 
-89,14, ELEV ,2996,1009, NAMERICA 
-89,14.5, ELEV ,2989,1077, NAMERICA 
-88.5,13, ELEV ,3009,132, NAMERICA 
-88.5,13.5, ELEV ,3003,471, NAMERICA 
-88.5,14, ELEV ,2996,1111, NAMERICA 
-88.5,14.5, ELEV ,2989,1060, NAMERICA 
-88,13, ELEV ,3009,173, NAMERICA 
-88,13.5, ELEV ,3003,545, NAMERICA 
-88,14, ELEV ,2996,1199, NAMERICA 
-88,14.5, ELEV ,2989,975, NAMERICA 
-87.5,12.5, ELEV ,3015,115, NAMERICA 
-87.5,13, ELEV ,3009,234, NAMERICA 
-87.5,13.5, ELEV ,3003,931, NAMERICA 
-87.5,14, ELEV ,2996,1287, NAMERICA 
-87.5,14.5, ELEV ,2989,958, NAMERICA 
-87,12, ELEV ,3021,98, NAMERICA 
-87,12.5, ELEV ,3015,203, NAMERICA 
-87,13, ELEV ,3009,789, NAMERICA 
-87,13.5, ELEV ,3003,837, NAMERICA 
-87,14, ELEV ,2996,1033, NAMERICA 
-87,14.5, ELEV ,2989,1243, NAMERICA 
-86.5,11.5, ELEV ,3027,107, NAMERICA 
-86.5,12, ELEV ,3021,105, NAMERICA 
-86.5,12.5, ELEV ,3015,403, NAMERICA 
-86.5,13, ELEV ,3009,962, NAMERICA 
-86.5,13.5, ELEV ,3003,965, NAMERICA 
-86.5,14, ELEV ,2996,816, NAMERICA 
-86.5,14.5, ELEV ,2989,769, NAMERICA 
-86,10, ELEV ,3042,119, NAMERICA 
-86,10.5, ELEV ,3037,129, NAMERICA 
-86,11, ELEV ,3032,125, NAMERICA 
-86,12, ELEV ,3021,244, NAMERICA 
-86,12.5, ELEV ,3015,589, NAMERICA 
-86,13, ELEV ,3009,1006, NAMERICA 
-86,13.5, ELEV ,3003,914, NAMERICA 
-86,14, ELEV ,2996,542, NAMERICA 
-86,14.5, ELEV ,2989,491, NAMERICA 
-85.5,9.5, ELEV ,3047,105, NAMERICA 
-85.5,10, ELEV ,3042,105, NAMERICA 
-85.5,10.5, ELEV ,3037,518, NAMERICA 
-85.5,11.5, ELEV ,3027,102, NAMERICA 
-85.5,12, ELEV ,3021,447, NAMERICA 
-85.5,12.5, ELEV ,3015,369, NAMERICA 
-85.5,13, ELEV ,3009,732, NAMERICA 
-85.5,13.5, ELEV ,3003,826, NAMERICA 
-85.5,14, ELEV ,2996,447, NAMERICA 
-85.5,14.5, ELEV ,2989,352, NAMERICA 
-85,9.5, ELEV ,3047,156, NAMERICA 
-85,10, ELEV ,3042,511, NAMERICA 
-85,10.5, ELEV ,3037,210, NAMERICA 
-85,11, ELEV ,3032,163, NAMERICA 
-85,11.5, ELEV ,3027,576, NAMERICA 
-85,12, ELEV ,3021,308, NAMERICA 
-85,12.5, ELEV ,3015,305, NAMERICA 
-85,13, ELEV ,3009,278, NAMERICA 
-85,13.5, ELEV ,3003,667, NAMERICA 
-85,14, ELEV ,2996,555, NAMERICA 
-85,14.5, ELEV ,2989,251, NAMERICA 
-84.5,9.5, ELEV ,3047,742, NAMERICA 
-84.5,10, ELEV ,3042,887, NAMERICA 
-84.5,10.5, ELEV ,3037,122, NAMERICA 
-84.5,11, ELEV ,3032,342, NAMERICA 
-84.5,11.5, ELEV ,3027,396, NAMERICA 
-84.5,12, ELEV ,3021,115, NAMERICA 
-84.5,12.5, ELEV ,3015,142, NAMERICA 
-84.5,13, ELEV ,3009,159, NAMERICA 
-84.5,13.5, ELEV ,3003,220, NAMERICA 
-84.5,14, ELEV ,2996,176, NAMERICA 
-84.5,14.5, ELEV ,2989,146, NAMERICA 
-84,9, ELEV ,3051,711, NAMERICA 
-84,9.5, ELEV ,3047,1744, NAMERICA 
-84,10, ELEV ,3042,437, NAMERICA 
-84,10.5, ELEV ,3037,105, NAMERICA 
-84,11.5, ELEV ,3027,68, NAMERICA 
-84,12, ELEV ,3021,37, NAMERICA 
-84,12.5, ELEV ,3015,41, NAMERICA 
-84,13, ELEV ,3009,51, NAMERICA 
-84,13.5, ELEV ,3003,61, NAMERICA 
-84,14, ELEV ,2996,105, NAMERICA 
-84,14.5, ELEV ,2989,88, NAMERICA 
-83.5,8.5, ELEV ,3055,230, NAMERICA 
-83.5,9, ELEV ,3051,1151, NAMERICA 
-83.5,9.5, ELEV ,3047,867, NAMERICA 
-83.5,10, ELEV ,3042,44, NAMERICA 
-83.5,14, ELEV ,2996,14, NAMERICA 
-83.5,14.5, ELEV ,2989,14, NAMERICA 
-83,8, ELEV ,3059,37, NAMERICA 
-83,8.5, ELEV ,3055,938, NAMERICA 
-83,9, ELEV ,3051,1355, NAMERICA 
-83,9.5, ELEV ,3047,85, NAMERICA 
-82.5,8, ELEV ,3059,61, NAMERICA 
-82.5,8.5, ELEV ,3055,853, NAMERICA 
-82.5,9, ELEV ,3051,237, NAMERICA 
-82,8, ELEV ,3059,410, NAMERICA 
