-92.5,14.5, TEXTURE ,2989,45,40,15,0, FAO , NAMERICA 
-92,14, TEXTURE ,2996,45,40,15,0, FAO , NAMERICA 
-92,14.5, TEXTURE ,2989,45,40,15,0, FAO , NAMERICA 
-91.5,14, TEXTURE ,2996,25,30,45,0, FAO , NAMERICA 
-91.5,14.5, TEXTURE ,2989,45,40,15,0, FAO , NAMERICA 
-91,14, TEXTURE ,2996,25,30,45,0, FAO , NAMERICA 
-91,14.5, TEXTURE ,2989,25,30,45,0, FAO , NAMERICA 
-90.5,13.5, TEXTURE ,3003,80,10,10,0, FAO , NAMERICA 
-90.5,14, TEXTURE ,2996,25,30,45,0, FAO , NAMERICA 
-90.5,14.5, TEXTURE ,2989,25,30,45,0, FAO , NAMERICA 
-90,13.5, TEXTURE ,3003,25,30,45,0, FAO , NAMERICA 
-90,14, TEXTURE ,2996,45,40,15,0, FAO , NAMERICA 
-90,14.5, TEXTURE ,2989,25,30,45,0, FAO , NAMERICA 
-89.5,13.5, TEXTURE ,3003,25,30,45,0, FAO , NAMERICA 
-89.5,14, TEXTURE ,2996,45,40,15,0, FAO , NAMERICA 
-89.5,14.5, TEXTURE ,2989,25,30,45,0, FAO , NAMERICA 
-89,13, TEXTURE ,3009,45,40,15,0, FAO , NAMERICA 
-89,13.5, TEXTURE ,3003,45,40,15,0, FAO , NAMERICA 
-89,14, TEXTURE ,2996,45,40,15,0, FAO , NAMERICA 
-89,14.5, TEXTURE ,2989,45,40,15,0, FAO , NAMERICA 
-88.5,13, TEXTURE ,3009,25,30,45,0, FAO , NAMERICA 
-88.5,13.5, TEXTURE ,3003,45,40,15,0, FAO , NAMERICA 
-88.5,14, TEXTURE ,2996,45,40,15,0, FAO , NAMERICA 
-88.5,14.5, TEXTURE ,2989,45,40,15,0, FAO , NAMERICA 
-88,13, TEXTURE ,3009,45,40,15,0, FAO , NAMERICA 
-88,13.5, TEXTURE ,3003,45,40,15,0, FAO , NAMERICA 
-88,14, TEXTURE ,2996,45,40,15,0, FAO , NAMERICA 
-88,14.5, TEXTURE ,2989,25,30,45,0, FAO , NAMERICA 
-87.5,12.5, TEXTURE ,3015,45,40,15,0, FAO , NAMERICA 
-87.5,13, TEXTURE ,3009,45,40,15,0, FAO , NAMERICA 
-87.5,13.5, TEXTURE ,3003,45,40,15,0, FAO , NAMERICA 
-87.5,14, TEXTURE ,2996,45,40,15,0, FAO , NAMERICA 
-87.5,14.5, TEXTURE ,2989,25,30,45,0, FAO , NAMERICA 
-87,12, TEXTURE ,3021,45,40,15,0, FAO , NAMERICA 
-87,12.5, TEXTURE ,3015,35,30,35,0, FAO , NAMERICA 
-87,13, TEXTURE ,3009,35,30,35,0, FAO , NAMERICA 
-87,13.5, TEXTURE ,3003,45,40,15,0, FAO , NAMERICA 
-87,14, TEXTURE ,2996,45,40,15,0, FAO , NAMERICA 
-87,14.5, TEXTURE ,2989,45,40,15,0, FAO , NAMERICA 
-86.5,11.5, TEXTURE ,3027,45,40,15,0, FAO , NAMERICA 
-86.5,12, TEXTURE ,3021,25,30,45,0, FAO , NAMERICA 
