-92.5,14.5, TEMVEG ,-111,18, MBL , NAMERICA 
-92,14, TEMVEG ,-111,18, MATTHEWS , NAMERICA 
-92,14.5, TEMVEG ,-111,18, MATTHEWS , NAMERICA 
-91.5,14, TEMVEG ,-111,16, MBL , NAMERICA 
-91.5,14.5, TEMVEG ,-111,16, MBL , NAMERICA 
-91,14, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-91,14.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-90.5,13.5, TEMVEG ,-111,16, MBL/CL , NAMERICA 
-90.5,14, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-90.5,14.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-90,13.5, TEMVEG ,-111,16, MBL , NAMERICA 
-90,14, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-90,14.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-89.5,13.5, TEMVEG ,-111,16, MBL , NAMERICA 
-89.5,14, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-89.5,14.5, TEMVEG ,-111,18, MBL , NAMERICA 
-89,13, TEMVEG ,-111,16, MBL , NAMERICA 
-89,13.5, TEMVEG ,-111,16, MBL , NAMERICA 
-89,14, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-89,14.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-88.5,13, TEMVEG ,-111,16, MBL , NAMERICA 
-88.5,13.5, TEMVEG ,-111,16, MBL , NAMERICA 
-88.5,14, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-88.5,14.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-88,13, TEMVEG ,-111,16, MBL/VL , NAMERICA 
-88,13.5, TEMVEG ,-111,9, MATTHEWS , NAMERICA 
-88,14, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-88,14.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-87.5,12.5, TEMVEG ,-111,16, MBL , NAMERICA 
-87.5,13, TEMVEG ,-111,16, MBL , NAMERICA 
-87.5,13.5, TEMVEG ,-111,16, MBL , NAMERICA 
-87.5,14, TEMVEG ,-111,18, MBL , NAMERICA 
-87.5,14.5, TEMVEG ,-111,18, MBL , NAMERICA 
-87,12, TEMVEG ,-111,16, MBL , NAMERICA 
-87,12.5, TEMVEG ,-111,16, MBL , NAMERICA 
-87,13, TEMVEG ,-111,16, MBL , NAMERICA 
-87,13.5, TEMVEG ,-111,16, MBL , NAMERICA 
-87,14, TEMVEG ,-111,18, MBL , NAMERICA 
-87,14.5, TEMVEG ,-111,18, MBL , NAMERICA 
-86.5,11.5, TEMVEG ,-111,16, MBL , NAMERICA 
-86.5,12, TEMVEG ,-111,14, MBL/CL , NAMERICA 
-86.5,12.5, TEMVEG ,-111,16, MBL , NAMERICA 
-86.5,13, TEMVEG ,-111,18, MBL , NAMERICA 
-86.5,13.5, TEMVEG ,-111,18, MBL , NAMERICA 
-86.5,14, TEMVEG ,-111,18, MBL , NAMERICA 
-86.5,14.5, TEMVEG ,-111,18, MBL , NAMERICA 
-86,10, TEMVEG ,-111,16, MBL , NAMERICA 
-86,10.5, TEMVEG ,-111,18, MBL/CL , NAMERICA 
-86,11, TEMVEG ,-111,18, MBL/CL , NAMERICA 
-86,12, TEMVEG ,-111,18, MBL , NAMERICA 
-86,12.5, TEMVEG ,-111,18, MBL , NAMERICA 
-86,13, TEMVEG ,-111,18, MBL , NAMERICA 
-86,13.5, TEMVEG ,-111,18, MBL , NAMERICA 
-86,14, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-86,14.5, TEMVEG ,-111,18, MBL , NAMERICA 
-85.5,9.5, TEMVEG ,-111,16, MBL , NAMERICA 
-85.5,10, TEMVEG ,-111,16, MBL , NAMERICA 
-85.5,10.5, TEMVEG ,-111,16, MBL , NAMERICA 
-85.5,11.5, TEMVEG ,-111,16, MBL/CL , NAMERICA 
-85.5,12, TEMVEG ,-111,18, MBL , NAMERICA 
-85.5,12.5, TEMVEG ,-111,16, MBL , NAMERICA 
-85.5,13, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-85.5,13.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-85.5,14, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-85.5,14.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-85,9.5, TEMVEG ,-111,16, MBL/CL , NAMERICA 
-85,10, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-85,10.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-85,11, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-85,11.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-85,12, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-85,12.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-85,13, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-85,13.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-85,14, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-85,14.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-84.5,9.5, TEMVEG ,-111,16, MBL , NAMERICA 
-84.5,10, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-84.5,10.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-84.5,11, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-84.5,11.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-84.5,12, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-84.5,12.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-84.5,13, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-84.5,13.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-84.5,14, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-84.5,14.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-84,9, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-84,9.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-84,10, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-84,10.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-84,11.5, TEMVEG ,-111,16, MBL , NAMERICA 
-84,12, TEMVEG ,-111,16, MBL , NAMERICA 
-84,12.5, TEMVEG ,-111,16, MBL , NAMERICA 
-84,13, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-84,13.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-84,14, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-84,14.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-83.5,8.5, TEMVEG ,-111,16, MBL , NAMERICA 
-83.5,9, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-83.5,9.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-83.5,10, TEMVEG ,-111,16, MBL/CL , NAMERICA 
-83.5,14, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-83.5,14.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-83,8, TEMVEG ,-111,16, MBL/CL , NAMERICA 
-83,8.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-83,9, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-83,9.5, TEMVEG ,-111,16, MBL/CL , NAMERICA 
-82.5,8, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-82.5,8.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-82.5,9, TEMVEG ,-111,16, MBL/CL , NAMERICA 
-82,8, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-82,8.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-81.5,7.5, TEMVEG ,-111,16, MBL , NAMERICA 
-81.5,8, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-81.5,8.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-81,7, TEMVEG ,-111,16, MBL/CL , NAMERICA 
-81,7.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-81,8, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-81,8.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-80.5,7.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-80.5,8.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-80,0, TEMVEG ,-111,16, UNESCO , SAMERICA 
-80,0.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-80,8.5, TEMVEG ,-111,16, MBL , NAMERICA 
-80,9, TEMVEG ,-111,19, MATTHEWS , NAMERICA 
-79.5,0, TEMVEG ,-111,16, UNESCO , SAMERICA 
-79.5,0.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-79.5,9, TEMVEG ,-111,16, MBL , NAMERICA 
-79,0, TEMVEG ,-111,16, UNESCO , SAMERICA 
-79,0.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-79,1, TEMVEG ,-111,16, UNESCO , SAMERICA 
-79,1.5, TEMVEG ,-111,29, UNESCO , SAMERICA 
-79,8.5, TEMVEG ,-111,16, MBL/CL , SAMERICA 
-79,9, TEMVEG ,-111,16, MBL , NAMERICA 
-78.5,0, TEMVEG ,-111,2, UNESCO , SAMERICA 
-78.5,0.5, TEMVEG ,-111,33, UNESCO , SAMERICA 
-78.5,1, TEMVEG ,-111,16, UNESCO , SAMERICA 
-78.5,1.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-78.5,2, TEMVEG ,-111,16, UNESCO , SAMERICA 
-78.5,7.5, TEMVEG ,-111,16, MBL , NAMERICA 
-78.5,8, TEMVEG ,-111,16, MBL/CL , NAMERICA 
-78.5,8.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-78.5,9, TEMVEG ,-111,16, MBL , NAMERICA 
-78,0, TEMVEG ,-111,18, UNESCO , SAMERICA 
-78,0.5, TEMVEG ,-111,18, MBL , SAMERICA 
-78,1, TEMVEG ,-111,18, MBL , SAMERICA 
-78,1.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-78,2, TEMVEG ,-111,16, UNESCO , SAMERICA 
-78,2.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-78,7, TEMVEG ,-111,16, UNESCO , SAMERICA 
-78,7.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-78,8, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-78,8.5, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-77.5,0, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77.5,0.5, TEMVEG ,-111,18, UNESCO , SAMERICA 
-77.5,1, TEMVEG ,-111,18, MBL , SAMERICA 
-77.5,1.5, TEMVEG ,-111,16, MBL , SAMERICA 
-77.5,2, TEMVEG ,-111,33, UNESCO , SAMERICA 
-77.5,2.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77.5,3, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77.5,3.5, TEMVEG ,-111,29, MBL/CL , SAMERICA 
-77.5,4, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77.5,4.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77.5,5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77.5,5.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77.5,6, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77.5,6.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77.5,7, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77.5,7.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77.5,8, TEMVEG ,-111,16, MATTHEWS , NAMERICA 
-77,0, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77,0.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77,1, TEMVEG ,-111,33, UNESCO , SAMERICA 
-77,1.5, TEMVEG ,-111,33, UNESCO , SAMERICA 
-77,2, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77,2.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77,3, TEMVEG ,-111,16, MBL , SAMERICA 
-77,3.5, TEMVEG ,-111,33, UNESCO , SAMERICA 
-77,4, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77,4.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77,5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77,5.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77,6, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77,6.5, TEMVEG ,-111,24, UNESCO , SAMERICA 
-77,7, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77,7.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-77,8, TEMVEG ,-111,16, MBL , SAMERICA 
-76.5,0, TEMVEG ,-111,16, UNESCO , SAMERICA 
-76.5,0.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-76.5,1, TEMVEG ,-111,16, UNESCO , SAMERICA 
-76.5,1.5, TEMVEG ,-111,33, UNESCO , SAMERICA 
-76.5,2, TEMVEG ,-111,33, UNESCO , SAMERICA 
-76.5,2.5, TEMVEG ,-111,33, UNESCO , SAMERICA 
-76.5,3, TEMVEG ,-111,33, MBL , SAMERICA 
-76.5,3.5, TEMVEG ,-111,33, MBL , SAMERICA 
-76.5,4, TEMVEG ,-111,16, MBL , SAMERICA 
-76.5,4.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-76.5,5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-76.5,5.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-76.5,6, TEMVEG ,-111,16, UNESCO , SAMERICA 
-76.5,6.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-76.5,7, TEMVEG ,-111,16, UNESCO , SAMERICA 
-76.5,7.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-76.5,8, TEMVEG ,-111,16, UNESCO , SAMERICA 
-76.5,8.5, TEMVEG ,-111,18, MBL , SAMERICA 
-76,0, TEMVEG ,-111,16, UNESCO , SAMERICA 
-76,0.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-76,1, TEMVEG ,-111,16, UNESCO , SAMERICA 
-76,1.5, TEMVEG ,-111,33, UNESCO , SAMERICA 
-76,2, TEMVEG ,-111,19, MBL , SAMERICA 
-76,2.5, TEMVEG ,-111,33, UNESCO , SAMERICA 
-76,3, TEMVEG ,-111,33, UNESCO , SAMERICA 
-76,3.5, TEMVEG ,-111,33, MBL , SAMERICA 
-76,4, TEMVEG ,-111,33, UNESCO , SAMERICA 
-76,4.5, TEMVEG ,-111,16, MBL , SAMERICA 
-76,5, TEMVEG ,-111,16, MBL , SAMERICA 
-76,5.5, TEMVEG ,-111,16, MBL , SAMERICA 
-76,6, TEMVEG ,-111,16, MBL , SAMERICA 
-76,6.5, TEMVEG ,-111,16, MBL , SAMERICA 
-76,7, TEMVEG ,-111,16, MBL , SAMERICA 
-76,7.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-76,8, TEMVEG ,-111,18, MBL , SAMERICA 
-76,8.5, TEMVEG ,-111,18, MBL , SAMERICA 
-76,9, TEMVEG ,-111,18, MBL , SAMERICA 
-75.5,0, TEMVEG ,-111,16, UNESCO , SAMERICA 
-75.5,0.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-75.5,1, TEMVEG ,-111,16, UNESCO , SAMERICA 
-75.5,1.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-75.5,2, TEMVEG ,-111,33, MBL , SAMERICA 
-75.5,2.5, TEMVEG ,-111,16, MBL , SAMERICA 
-75.5,3, TEMVEG ,-111,16, MBL , SAMERICA 
-75.5,3.5, TEMVEG ,-111,16, MBL , SAMERICA 
-75.5,4, TEMVEG ,-111,16, MBL , SAMERICA 
-75.5,4.5, TEMVEG ,-111,33, MBL , SAMERICA 
-75.5,5, TEMVEG ,-111,33, MBL , SAMERICA 
-75.5,5.5, TEMVEG ,-111,16, MBL , SAMERICA 
-75.5,6, TEMVEG ,-111,16, MBL , SAMERICA 
-75.5,6.5, TEMVEG ,-111,16, MBL , SAMERICA 
-75.5,7, TEMVEG ,-111,16, UNESCO , SAMERICA 
-75.5,7.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-75.5,8, TEMVEG ,-111,18, MBL , SAMERICA 
-75.5,8.5, TEMVEG ,-111,18, MBL , SAMERICA 
-75.5,9, TEMVEG ,-111,18, MBL , SAMERICA 
-75.5,9.5, TEMVEG ,-111,18, UNESCO , SAMERICA 
-75.5,10, TEMVEG ,-111,19, MBL , SAMERICA 
-75.5,10.5, TEMVEG ,-111,19, MBL/CL , SAMERICA 
-75,0, TEMVEG ,-111,16, UNESCO , SAMERICA 
-75,0.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-75,1, TEMVEG ,-111,16, UNESCO , SAMERICA 
-75,1.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-75,2, TEMVEG ,-111,16, MBL , SAMERICA 
-75,2.5, TEMVEG ,-111,16, MBL , SAMERICA 
-75,3, TEMVEG ,-111,16, MBL , SAMERICA 
-75,3.5, TEMVEG ,-111,16, MBL , SAMERICA 
-75,4, TEMVEG ,-111,16, MBL , SAMERICA 
-75,4.5, TEMVEG ,-111,16, MBL , SAMERICA 
-75,5, TEMVEG ,-111,16, MBL , SAMERICA 
-75,5.5, TEMVEG ,-111,16, MBL , SAMERICA 
-75,6, TEMVEG ,-111,16, MBL , SAMERICA 
-75,6.5, TEMVEG ,-111,16, MBL , SAMERICA 
-75,7, TEMVEG ,-111,16, UNESCO , SAMERICA 
-75,7.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-75,8, TEMVEG ,-111,16, MBL , SAMERICA 
-75,8.5, TEMVEG ,-111,16, MBL , SAMERICA 
-75,9, TEMVEG ,-111,18, MBL , SAMERICA 
-75,9.5, TEMVEG ,-111,18, UNESCO , SAMERICA 
-75,10, TEMVEG ,-111,18, MBL , SAMERICA 
-75,10.5, TEMVEG ,-111,24, MBL , SAMERICA 
-74.5,0, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74.5,0.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74.5,1, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74.5,1.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74.5,2, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74.5,2.5, TEMVEG ,-111,16, MBL , SAMERICA 
-74.5,3, TEMVEG ,-111,16, MBL , SAMERICA 
-74.5,3.5, TEMVEG ,-111,16, MBL , SAMERICA 
-74.5,4, TEMVEG ,-111,18, MBL , SAMERICA 
-74.5,4.5, TEMVEG ,-111,10, UNESCO , SAMERICA 
-74.5,5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74.5,5.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74.5,6, TEMVEG ,-111,18, MBL , SAMERICA 
-74.5,6.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74.5,7, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74.5,7.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74.5,8, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74.5,8.5, TEMVEG ,-111,16, MBL , SAMERICA 
-74.5,9, TEMVEG ,-111,18, UNESCO , SAMERICA 
-74.5,9.5, TEMVEG ,-111,18, UNESCO , SAMERICA 
-74.5,10, TEMVEG ,-111,18, MBL , SAMERICA 
-74.5,10.5, TEMVEG ,-111,19, UNESCO , SAMERICA 
-74,0, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74,0.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74,1, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74,1.5, TEMVEG ,-111,14, UNESCO , SAMERICA 
-74,2, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74,2.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74,3, TEMVEG ,-111,14, UNESCO , SAMERICA 
-74,3.5, TEMVEG ,-111,14, UNESCO , SAMERICA 
-74,4, TEMVEG ,-111,33, UNESCO , SAMERICA 
-74,4.5, TEMVEG ,-111,33, MBL , SAMERICA 
-74,5, TEMVEG ,-111,10, UNESCO , SAMERICA 
-74,5.5, TEMVEG ,-111,16, MBL , SAMERICA 
-74,6, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74,6.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74,7, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74,7.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-74,8, TEMVEG ,-111,16, MBL , SAMERICA 
-74,8.5, TEMVEG ,-111,16, MBL , SAMERICA 
-74,9, TEMVEG ,-111,18, UNESCO , SAMERICA 
-74,9.5, TEMVEG ,-111,18, MBL , SAMERICA 
-74,10, TEMVEG ,-111,19, UNESCO , SAMERICA 
-74,10.5, TEMVEG ,-111,33, UNESCO , SAMERICA 
-74,11, TEMVEG ,-111,18, UNESCO , SAMERICA 
-73.5,0, TEMVEG ,-111,16, UNESCO , SAMERICA 
-73.5,0.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-73.5,1, TEMVEG ,-111,16, UNESCO , SAMERICA 
-73.5,1.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-73.5,2, TEMVEG ,-111,16, UNESCO , SAMERICA 
-73.5,2.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-73.5,3, TEMVEG ,-111,14, UNESCO , SAMERICA 
-73.5,3.5, TEMVEG ,-111,14, UNESCO , SAMERICA 
-73.5,4, TEMVEG ,-111,14, UNESCO , SAMERICA 
-73.5,4.5, TEMVEG ,-111,16, MBL , SAMERICA 
-73.5,5, TEMVEG ,-111,18, MBL , SAMERICA 
-73.5,5.5, TEMVEG ,-111,10, MBL , SAMERICA 
-73.5,6, TEMVEG ,-111,16, MBL , SAMERICA 
-73.5,6.5, TEMVEG ,-111,16, MBL , SAMERICA 
-73.5,7, TEMVEG ,-111,16, UNESCO , SAMERICA 
-73.5,7.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-73.5,8, TEMVEG ,-111,33, MBL , SAMERICA 
-73.5,8.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-73.5,9, TEMVEG ,-111,19, UNESCO , SAMERICA 
-73.5,9.5, TEMVEG ,-111,18, MBL , SAMERICA 
-73.5,10, TEMVEG ,-111,19, MBL , SAMERICA 
-73.5,10.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-73.5,11, TEMVEG ,-111,19, UNESCO , SAMERICA 
-73,0, TEMVEG ,-111,16, UNESCO , SAMERICA 
-73,0.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-73,1, TEMVEG ,-111,16, UNESCO , SAMERICA 
-73,1.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-73,2, TEMVEG ,-111,16, UNESCO , SAMERICA 
-73,2.5, TEMVEG ,-111,16, UNESCO , SAMERICA 
-73,3, TEMVEG ,-111,14, UNESCO , SAMERICA 
-73,3.5, TEMVEG ,-111,14, UNESCO , SAMERICA 
-73,4, TEMVEG ,-111,14, UNESCO , SAMERICA 
-73,4.5, TEMVEG ,-111,14, UNESCO , SAMERICA 
-73,5, TEMVEG ,-111,16, MBL , SAMERICA 
-73,5.5, TEMVEG ,-111,18, MBL , SAMERICA 
-73,6, TEMVEG ,-111,3, UNESCO , SAMERICA 
-73,6.5, TEMVEG ,-111,18, UNESCO , SAMERICA 
