-92.5,14.5, DENSITY ,2989,1.23, NAMERICA
-92,14, DENSITY ,2996,1.48, NAMERICA
-92,14.5, DENSITY ,2989,1.48, NAMERICA
-91.5,14, DENSITY ,2996,1.54, NAMERICA
-91.5,14.5, DENSITY ,2989,1.54, NAMERICA
-91,14, DENSITY ,2996,1.54, NAMERICA
-91,14.5, DENSITY ,2989,1.54, NAMERICA
-90.5,13.5, DENSITY ,3003,1.34, NAMERICA
-90.5,14, DENSITY ,2996,1.34, NAMERICA
-90.5,14.5, DENSITY ,2989,1.34, NAMERICA
-90,13.5, DENSITY ,3003,1.34, NAMERICA
-90,14, DENSITY ,2996,1.34, NAMERICA
-90,14.5, DENSITY ,2989,1.34, NAMERICA
-89.5,13.5, DENSITY ,3003,1.25, NAMERICA
-89.5,14, DENSITY ,2996,1.25, NAMERICA
-89.5,14.5, DENSITY ,2989,1.25, NAMERICA
-89,13, DENSITY ,3009,1.25, NAMERICA
-89,13.5, DENSITY ,3003,1.25, NAMERICA
-89,14, DENSITY ,2996,1.25, NAMERICA
-89,14.5, DENSITY ,2989,1.25, NAMERICA
-88.5,13, DENSITY ,3009,1.42, NAMERICA
-88.5,13.5, DENSITY ,3003,1.42, NAMERICA
-88.5,14, DENSITY ,2996,1.38, NAMERICA
-88.5,14.5, DENSITY ,2989,1.38, NAMERICA
-88,13, DENSITY ,3009,1.61, NAMERICA
-88,13.5, DENSITY ,3003,1.61, NAMERICA
-88,14, DENSITY ,2996,1.52, NAMERICA
-88,14.5, DENSITY ,2989,1.52, NAMERICA
-87.5,12.5, DENSITY ,3015,1.61, NAMERICA
-87.5,13, DENSITY ,3009,1.61, NAMERICA
-87.5,13.5, DENSITY ,3003,1.61, NAMERICA
-87.5,14, DENSITY ,2996,1.52, NAMERICA
-87.5,14.5, DENSITY ,2989,1.52, NAMERICA
-87,12, DENSITY ,3021,1.26, NAMERICA
-87,12.5, DENSITY ,3015,1.26, NAMERICA
-87,13, DENSITY ,3009,1.52, NAMERICA
-87,13.5, DENSITY ,3003,1.52, NAMERICA
-87,14, DENSITY ,2996,1.36, NAMERICA
-87,14.5, DENSITY ,2989,1.36, NAMERICA
-86.5,11.5, DENSITY ,3027,1.26, NAMERICA
-86.5,12, DENSITY ,3021,1.26, NAMERICA
-86.5,12.5, DENSITY ,3015,1.26, NAMERICA
-86.5,13, DENSITY ,3009,1.52, NAMERICA
-86.5,13.5, DENSITY ,3003,1.52, NAMERICA
-86.5,14, DENSITY ,2996,1.36, NAMERICA
-86.5,14.5, DENSITY ,2989,1.36, NAMERICA
-86,10, DENSITY ,3042,1.15, NAMERICA
-86,10.5, DENSITY ,3037,1.15, NAMERICA
-86,11, DENSITY ,3032,1.15, NAMERICA
-86,12, DENSITY ,3021,1.26, NAMERICA
-86,12.5, DENSITY ,3015,1.61, NAMERICA
-86,13, DENSITY ,3009,1.36, NAMERICA
-86,13.5, DENSITY ,3003,1.36, NAMERICA
-86,14, DENSITY ,2996,1.36, NAMERICA
-86,14.5, DENSITY ,2989,1.36, NAMERICA
-85.5,9.5, DENSITY ,3047,1.15, NAMERICA
-85.5,10, DENSITY ,3042,1.15, NAMERICA
-85.5,10.5, DENSITY ,3037,1.15, NAMERICA
-85.5,11.5, DENSITY ,3027,1.26, NAMERICA
-85.5,12, DENSITY ,3021,1.26, NAMERICA
-85.5,12.5, DENSITY ,3015,1.61, NAMERICA
-85.5,13, DENSITY ,3009,1.36, NAMERICA
-85.5,13.5, DENSITY ,3003,1.36, NAMERICA
-85.5,14, DENSITY ,2996,1.36, NAMERICA
-85.5,14.5, DENSITY ,2989,1.36, NAMERICA
-85,9.5, DENSITY ,3047,1.32, NAMERICA
-85,10, DENSITY ,3042,1.32, NAMERICA
-85,10.5, DENSITY ,3037,1.4, NAMERICA
-85,11, DENSITY ,3032,1.4, NAMERICA
-85,11.5, DENSITY ,3027,1.61, NAMERICA
-85,12, DENSITY ,3021,1.61, NAMERICA
-85,12.5, DENSITY ,3015,1.37, NAMERICA
-85,13, DENSITY ,3009,1.37, NAMERICA
-85,13.5, DENSITY ,3003,1.37, NAMERICA
-85,14, DENSITY ,2996,1.4, NAMERICA
-85,14.5, DENSITY ,2989,1.4, NAMERICA
-84.5,9.5, DENSITY ,3047,1.51, NAMERICA
-84.5,10, DENSITY ,3042,1.51, NAMERICA
-84.5,10.5, DENSITY ,3037,1.58, NAMERICA
-84.5,11, DENSITY ,3032,1.58, NAMERICA
-84.5,11.5, DENSITY ,3027,1.4, NAMERICA
-84.5,12, DENSITY ,3021,1.4, NAMERICA
-84.5,12.5, DENSITY ,3015,1.26, NAMERICA
-84.5,13, DENSITY ,3009,1.45, NAMERICA
-84.5,13.5, DENSITY ,3003,1.45, NAMERICA
