,,,,,,,,,netnmin,fix,,input,n2,n2o,nlost,,ninput,nupt,ltrn
80.5,6.5, NETNMIN ,9,9,55,0,3070,1971,14079.2,1025.9,15105.1,21611.6,180.5,602.5,53.6,836.6,6506.5,20956.2,19920.1
80.5,6.5, NETNMIN ,9,9,55,0,3070,1972,17887.1,1053.3,18940.4,26343.7,174.6,583,44.4,802,7403.3,25551.7,19233.8
80.5,6.5, NETNMIN ,9,9,55,0,3070,1973,13616.6,1058.5,14675.1,21998.7,169.2,564.9,42.4,776.5,7323.6,21128.9,19482.7
80.5,6.5, NETNMIN ,9,9,55,0,3070,1974,11898.2,1152.9,13051.1,23079.6,144.4,482.2,26.2,652.8,10028.5,22526.5,16953.6
80.5,6.5, NETNMIN ,9,9,55,0,3070,1975,6458,940.2,7398.2,11152,175.9,587.2,77.8,840.9,3753.8,10210.3,23041.7
80.5,6.5, NETNMIN ,9,9,55,0,3070,1976,16880,1075.4,17955.4,26504.2,169.9,567.4,38.3,775.6,8548.8,25714.9,18089.5
80.5,6.5, NETNMIN ,9,9,55,0,3070,1977,8120.1,954.1,9074.2,13561.4,175.1,584.4,71.7,831.2,4487.2,12715.5,22101.4
80.5,6.5, NETNMIN ,9,9,55,0,3070,1978,13389,992,14381,20889.7,184.3,615.2,61,860.5,6508.7,20106.5,19849.2
80.5,6.5, NETNMIN ,9,9,55,0,3070,1979,14095.5,1007.8,15103.3,22459.4,182.7,610.1,55.2,848,7356.1,21606,18987.9
80.5,6.5, NETNMIN ,9,9,55,0,3070,1980,11859.7,1112.5,12972.2,22987.5,158.8,530.3,31.8,720.9,10015.3,22295.7,16559.2
80.5,6.5, NETNMIN ,9,9,55,0,3070,1981,9438.1,1093.8,10531.9,19646.5,153.1,511.3,36.7,701.1,9114.6,18922.7,17585.4
80.5,6.5, NETNMIN ,9,9,55,0,3070,1982,7739.2,940.6,8679.8,12882.7,178.9,597.2,75.4,851.5,4202.9,11934.2,22236.7
80.5,6.5, NETNMIN ,9,9,55,0,3070,1983,13786.6,1128,14914.6,25372.6,158,527.6,30.8,716.4,10458,24692.8,15971.3
80.5,6.5, NETNMIN ,9,9,55,0,3070,1984,8704,1080.4,9784.4,17834.1,148.9,497.2,37.5,683.6,8049.7,17174.5,18559.8
80.5,6.5, NETNMIN ,9,9,55,0,3070,1985,10162.9,1069,11231.9,19261.6,158.5,529.1,40.8,728.4,8029.7,18425.1,18522.6
80.5,6.5, NETNMIN ,9,9,55,0,3070,1986,11313.4,985.5,12298.9,18469.9,180.9,604,61.2,846.1,6171,17639,20308.9
80.5,6.5, NETNMIN ,9,9,55,0,3070,1987,14191.6,1076,15267.6,24259.4,171.8,573.5,40.1,785.4,8991.8,23559,17498.8
80.5,6.5, NETNMIN ,9,9,55,0,3070,1988,13390.8,1091.9,14482.7,23643.9,166.9,557.4,36,760.3,9161.2,22830.1,17591.7
80.5,6.5, NETNMIN ,9,9,55,0,3070,1989,11596.9,1056.7,12653.6,20659.3,165.4,552.2,41.9,759.5,8005.7,19928.2,18875
80.5,6.5, NETNMIN ,9,9,55,0,3070,1990,13630.5,1049.6,14680.1,22002.3,176,587.6,44,807.6,7322.2,21200.9,19599.4
80.5,6.5, NETNMIN ,9,9,55,0,3070,1991,8578.4,1010.7,9589.1,16347.3,172.5,575.9,59.7,808.1,6758.2,15555.3,19987.8
80.5,6.5, NETNMIN ,9,9,55,0,3070,1992,15599.3,1078,16677.3,26324.3,172.9,577.3,40,790.2,9647,25545.3,17233.8
80.5,6.5, NETNMIN ,9,9,55,0,3070,1993,10035.8,1039,11074.8,18564.7,170.2,568,54.1,792.3,7489.9,17621.9,19574.9
80.5,6.5, NETNMIN ,9,9,55,0,3070,1994,8354.1,1074.5,9428.6,17889.7,156.4,522.2,38.6,717.2,8461.1,17207.4,18486.7
80.5,6.5, NETNMIN ,9,9,55,0,3070,1995,12695.3,1088,13783.3,23409.8,170.4,568.9,38.1,777.4,9626.5,22755.3,17384.7
80.5,6.5, NETNMIN ,9,9,55,0,3070,1996,12099,1028.1,13127.1,20452.6,179.7,600,53.5,833.2,7325.5,19591.9,19761.6
80.5,6.5, NETNMIN ,9,9,55,0,3070,1997,16129.9,1042.2,17172.1,25662.6,189.3,632.1,48.7,870.1,8490.5,24773.9,18689.3
80.5,6.5, NETNMIN ,9,9,55,0,3070,1998,11278.2,1096.5,12374.7,22178.9,172.6,576.3,37.1,786,9804.2,21403.4,17609.1
80.5,6.5, NETNMIN ,9,9,55,0,3070,1999,7036.3,1087.7,8124,16856.4,157.9,526.9,40,724.8,8732.4,16102.4,18691.1
80.5,6.5, NETNMIN ,9,9,55,0,3070,2000,11478.7,1000.6,12479.3,19277.4,187.1,624.7,63.6,875.4,6798.1,18257.7,20480.3
80.5,6.5, NETNMIN ,9,9,55,0,3070,2001,14282.5,1015.2,15297.7,23053.9,189.8,633.7,58,881.5,7756.2,22291.9,19499.3
80.5,6.5, NETNMIN ,9,9,55,0,3070,2002,15873,1116.3,16989.3,27314.9,174.1,581.5,33.3,788.9,10325.6,26225.5,17165.6
80.5,6.5, NETNMIN ,9,9,55,0,3070,2003,7570,1003.5,8573.5,14639.4,175.2,584.8,61.8,821.8,6065.9,14137,21420
80.5,6.5, NETNMIN ,9,9,55,0,3070,2004,15834.6,1027.6,16862.2,25120.8,193.7,646.7,57,897.4,8258.6,24233.2,19204.8
80.5,6.5, NETNMIN ,9,9,55,0,3070,2005,13946.2,1084.6,15030.8,24258.3,175.6,586.4,43.3,805.3,9227.5,23453.9,18442.3
80.5,6.5, NETNMIN ,9,9,55,0,3070,2006,8812.5,1065.2,9877.7,18076.9,168.4,562.2,46.4,777,8199.2,17290.8,19494.1
80.5,6.5, NETNMIN ,9,9,55,0,3070,2007,14133.7,1104.9,15238.6,25382.1,172.4,575.8,38.9,787.1,10143.5,24632.4,17624.5
80.5,6.5, NETNMIN ,9,9,55,0,3070,2008,17413.6,1012.9,18426.5,25262.5,198.3,661.9,68.1,928.3,6836,24308.2,21148.1
80.5,6.5, NETNMIN ,9,9,55,0,3070,2009,12637.9,1033.5,13671.4,20789.6,191.1,637.9,54.3,883.3,7118.2,19868.7,20909.5
80.5,6.5, NETNMIN ,9,9,55,10,3070,2010,2081.7,428.6,2510.3,5976.2,53.5,178.7,10.7,242.9,3465.9,5606,7013.1
80.5,6.5, NETNMIN ,9,9,55,0,3070,2011,13677.9,1056.2,14734.1,23170.3,185.8,620.5,53.2,859.5,8436.2,22490.2,19477.6
80.5,6.5, NETNMIN ,9,9,55,10,3070,2012,2258.8,814.2,3073,8873.5,93.5,312,20.4,425.9,5800.5,8375.5,13942
80.5,6.5, NETNMIN ,9,9,55,0,3070,2013,13943.3,1002.1,14945.4,21320.1,196.8,657.1,65.3,919.2,6374.7,20413.9,21282.4
80.5,6.5, NETNMIN ,9,9,55,10,3070,2014,12680.7,1064.5,13745.2,24156.7,157.7,526.6,31.2,715.5,10411.5,23488.2,15610.9
80.5,6.5, NETNMIN ,9,9,55,0,3070,2015,10642.7,1000.6,11643.3,17842.4,190.9,637.1,67.2,895.2,6199.1,16654.1,21688
80.5,6.5, NETNMIN ,9,9,55,10,3070,2016,11431.2,1016.4,12447.6,20582.8,164.6,549.4,39.1,753.1,8135.2,20025.6,17892.6
80.5,6.5, NETNMIN ,9,9,55,0,3070,2017,11717.8,1072.7,12790.5,21264.6,177.1,591.1,44.9,813.1,8474.1,20490.3,19283.5
80.5,6.5, NETNMIN ,9,9,55,10,3070,2018,8469.9,844,9313.9,16503.4,132.2,441.4,33.6,607.2,7189.5,15943.8,14191.9
80.5,6.5, NETNMIN ,9,9,55,0,3070,2019,16621.3,1066.4,17687.7,26977.9,197.2,658.4,50.9,906.5,9290.2,26054.8,18647
