-92.5,14.5, phh2o ,2989,6.06654, NAMERICA
-92,14, phh2o ,2996,6.19257, NAMERICA
-92,14.5, phh2o ,2989,6.05507, NAMERICA
-91.5,14, phh2o ,2996,6.1342, NAMERICA
-91.5,14.5, phh2o ,2989,5.95417, NAMERICA
-91,14, phh2o ,2996,6.16796, NAMERICA
-91,14.5, phh2o ,2989,5.9946, NAMERICA
-90.5,13.5, phh2o ,3003,6.42687, NAMERICA
-90.5,14, phh2o ,2996,6.58908, NAMERICA
-90.5,14.5, phh2o ,2989,6.25131, NAMERICA
-90,13.5, phh2o ,3003,6.42094, NAMERICA
-90,14, phh2o ,2996,6.91257, NAMERICA
-90,14.5, phh2o ,2989,6.46922, NAMERICA
-89.5,13.5, phh2o ,3003,6.17403, NAMERICA
-89.5,14, phh2o ,2996,6.79949, NAMERICA
-89.5,14.5, phh2o ,2989,6.69181, NAMERICA
-89,13, phh2o ,3009,6.42319, NAMERICA
-89,13.5, phh2o ,3003,5.9965, NAMERICA
-89,14, phh2o ,2996,6.45636, NAMERICA
-89,14.5, phh2o ,2989,6.20601, NAMERICA
-88.5,13, phh2o ,3009,6.51483, NAMERICA
-88.5,13.5, phh2o ,3003,5.95081, NAMERICA
-88.5,14, phh2o ,2996,6.66111, NAMERICA
-88.5,14.5, phh2o ,2989,6.05152, NAMERICA
-88,13, phh2o ,3009,6.64377, NAMERICA
-88,13.5, phh2o ,3003,6.15863, NAMERICA
-88,14, phh2o ,2996,6.81909, NAMERICA
-88,14.5, phh2o ,2989,6.14729, NAMERICA
-87.5,12.5, phh2o ,3015,6.68631, NAMERICA
-87.5,13, phh2o ,3009,6.58124, NAMERICA
-87.5,13.5, phh2o ,3003,6.21849, NAMERICA
-87.5,14, phh2o ,2996,7.06923, NAMERICA
-87.5,14.5, phh2o ,2989,6.13036, NAMERICA
-87,12, phh2o ,3021,6.71552, NAMERICA
-87,12.5, phh2o ,3015,6.63946, NAMERICA
-87,13, phh2o ,3009,6.0061, NAMERICA
-87,13.5, phh2o ,3003,6.03671, NAMERICA
-87,14, phh2o ,2996,6.54148, NAMERICA
-87,14.5, phh2o ,2989,6.61748, NAMERICA
-86.5,11.5, phh2o ,3027,6.72213, NAMERICA
-86.5,12, phh2o ,3021,6.8527, NAMERICA
-86.5,12.5, phh2o ,3015,6.09403, NAMERICA
-86.5,13, phh2o ,3009,5.88717, NAMERICA
-86.5,13.5, phh2o ,3003,6.09874, NAMERICA
-86.5,14, phh2o ,2996,6.30209, NAMERICA
-86.5,14.5, phh2o ,2989,6.99926, NAMERICA
-86,10, phh2o ,3042,6.55544, NAMERICA
-86,10.5, phh2o ,3037,6.68524, NAMERICA
-86,11, phh2o ,3032,6.78985, NAMERICA
-86,12, phh2o ,3021,5.88583, NAMERICA
-86,12.5, phh2o ,3015,5.84133, NAMERICA
-86,13, phh2o ,3009,5.63299, NAMERICA
-86,13.5, phh2o ,3003,5.84456, NAMERICA
-86,14, phh2o ,2996,6.18353, NAMERICA
-86,14.5, phh2o ,2989,5.86665, NAMERICA
-85.5,9.5, phh2o ,3047,6.28311, NAMERICA
-85.5,10, phh2o ,3042,6.16725, NAMERICA
-85.5,10.5, phh2o ,3037,6.68539, NAMERICA
-85.5,11.5, phh2o ,3027,5.81157, NAMERICA
-85.5,12, phh2o ,3021,5.54132, NAMERICA
-85.5,12.5, phh2o ,3015,5.55469, NAMERICA
-85.5,13, phh2o ,3009,5.95861, NAMERICA
-85.5,13.5, phh2o ,3003,6.01072, NAMERICA
-85.5,14, phh2o ,2996,5.57269, NAMERICA
-85.5,14.5, phh2o ,2989,5.57896, NAMERICA
-85,9.5, phh2o ,3047,5.99541, NAMERICA
-85,10, phh2o ,3042,5.54479, NAMERICA
-85,10.5, phh2o ,3037,6.18581, NAMERICA
-85,11, phh2o ,3032,6.06482, NAMERICA
-85,11.5, phh2o ,3027,5.41768, NAMERICA
-85,12, phh2o ,3021,5.41244, NAMERICA
-85,12.5, phh2o ,3015,5.44779, NAMERICA
-85,13, phh2o ,3009,5.48133, NAMERICA
-85,13.5, phh2o ,3003,5.39687, NAMERICA
-85,14, phh2o ,2996,5.40849, NAMERICA
-85,14.5, phh2o ,2989,5.57502, NAMERICA
-84.5,9.5, phh2o ,3047,5.95695, NAMERICA
-84.5,10, phh2o ,3042,5.53256, NAMERICA
-84.5,10.5, phh2o ,3037,5.3287, NAMERICA
-84.5,11, phh2o ,3032,5.13126, NAMERICA
-84.5,11.5, phh2o ,3027,5.18627, NAMERICA
-84.5,12, phh2o ,3021,5.3348, NAMERICA
-84.5,12.5, phh2o ,3015,5.27822, NAMERICA
-84.5,13, phh2o ,3009,5.19516, NAMERICA
-84.5,13.5, phh2o ,3003,5.385, NAMERICA
-84.5,14, phh2o ,2996,5.2562, NAMERICA
-84.5,14.5, phh2o ,2989,5.57361, NAMERICA
-84,9, phh2o ,3051,5.69717, NAMERICA
-84,9.5, phh2o ,3047,5.92217, NAMERICA
-84,10, phh2o ,3042,5.31128, NAMERICA
-84,10.5, phh2o ,3037,5.63342, NAMERICA
-84,11.5, phh2o ,3027,5.50646, NAMERICA
-84,12, phh2o ,3021,5.31884, NAMERICA
-84,12.5, phh2o ,3015,5.40184, NAMERICA
-84,13, phh2o ,3009,5.17093, NAMERICA
-84,13.5, phh2o ,3003,5.33968, NAMERICA
-84,14, phh2o ,2996,5.18733, NAMERICA
-84,14.5, phh2o ,2989,5.44255, NAMERICA
-83.5,8.5, phh2o ,3055,5.51224, NAMERICA
-83.5,9, phh2o ,3051,5.45571, NAMERICA
-83.5,9.5, phh2o ,3047,5.70777, NAMERICA
-83.5,10, phh2o ,3042,5.10056, NAMERICA
-83.5,14, phh2o ,2996,5.3822, NAMERICA
-83.5,14.5, phh2o ,2989,5.11582, NAMERICA
-83,8, phh2o ,3059,5.95298, NAMERICA
-83,8.5, phh2o ,3055,5.30728, NAMERICA
-83,9, phh2o ,3051,5.50751, NAMERICA
-83,9.5, phh2o ,3047,5.51079, NAMERICA
-82.5,8, phh2o ,3059,5.49795, NAMERICA
-82.5,8.5, phh2o ,3055,5.1896, NAMERICA
-82.5,9, phh2o ,3051,7.29958, NAMERICA
-82,8, phh2o ,3059,5.40353, NAMERICA
-82,8.5, phh2o ,3055,5.07955, NAMERICA
-81.5,7.5, phh2o ,3063,5.55662, NAMERICA
-81.5,8, phh2o ,3059,5.45914, NAMERICA
-81.5,8.5, phh2o ,3055,7.29958, NAMERICA
-81,7, phh2o ,3067,5.43306, NAMERICA
-81,7.5, phh2o ,3063,5.58513, NAMERICA
-81,8, phh2o ,3059,5.43346, NAMERICA
-81,8.5, phh2o ,3055,5.24871, NAMERICA
-80.5,7.5, phh2o ,3063,6.35479, NAMERICA
-80.5,8.5, phh2o ,3055,5.17464, NAMERICA
-80,0, phh2o ,3091,5.81915, SAMERICA
-80,0.5, phh2o ,3091,5.57825, SAMERICA
-80,8.5, phh2o ,3055,5.42043, NAMERICA
-80,9, phh2o ,3051,5.61052, NAMERICA
-79.5,0, phh2o ,3091,5.48601, SAMERICA
-79.5,0.5, phh2o ,3091,6.18528, SAMERICA
-79.5,9, phh2o ,3051,5.61052, NAMERICA
-79,0, phh2o ,3091,5.81196, SAMERICA
-79,0.5, phh2o ,3091,6.13542, SAMERICA
-79,1, phh2o ,3091,7.30902, SAMERICA
-79,1.5, phh2o ,3090,7.61154, SAMERICA
-79,8.5, phh2o ,3055,5.6479, NAMERICA
-79,9, phh2o ,3051,7.59577, NAMERICA
-78.5,0, phh2o ,3091,5.95595, SAMERICA
-78.5,0.5, phh2o ,3091,5.66726, SAMERICA
-78.5,1, phh2o ,3091,6.21309, SAMERICA
-78.5,1.5, phh2o ,3090,6.57402, SAMERICA
-78.5,2, phh2o ,3089,7.61154, SAMERICA
-78.5,7.5, phh2o ,3063,5.5816, NAMERICA
-78.5,8, phh2o ,3059,5.5566, NAMERICA
-78.5,8.5, phh2o ,3055,5.56174, NAMERICA
-78.5,9, phh2o ,3051,6.91589, NAMERICA
-78,0, phh2o ,3091,6.00185, SAMERICA
-78,0.5, phh2o ,3091,5.84681, SAMERICA
-78,1, phh2o ,3091,5.59825, SAMERICA
-78,1.5, phh2o ,3090,5.43124, SAMERICA
-78,2, phh2o ,3089,6.34466, SAMERICA
-78,2.5, phh2o ,3088,7.61154, SAMERICA
-78,7, phh2o ,3067,5.61534, SAMERICA
-78,7.5, phh2o ,3063,5.56106, NAMERICA
-78,8, phh2o ,3059,5.42978, NAMERICA
-78,8.5, phh2o ,3055,5.43882, NAMERICA
-77.5,0, phh2o ,3091,6.33082, SAMERICA
-77.5,0.5, phh2o ,3091,6.46433, SAMERICA
-77.5,1, phh2o ,3091,6.57131, SAMERICA
-77.5,1.5, phh2o ,3090,6.20445, SAMERICA
-77.5,2, phh2o ,3089,5.21628, SAMERICA
-77.5,2.5, phh2o ,3088,5.81055, SAMERICA
-77.5,3, phh2o ,3086,6.54421, SAMERICA
-77.5,3.5, phh2o ,3085,6.58235, SAMERICA
-77.5,4, phh2o ,3083,5.78719, SAMERICA
-77.5,4.5, phh2o ,3081,5.88531, SAMERICA
-77.5,5, phh2o ,3078,5.28323, SAMERICA
-77.5,5.5, phh2o ,3076,5.33534, SAMERICA
-77.5,6, phh2o ,3073,5.5917, SAMERICA
-77.5,6.5, phh2o ,3070,5.84816, SAMERICA
-77.5,7, phh2o ,3067,5.61326, SAMERICA
-77.5,7.5, phh2o ,3063,5.39515, SAMERICA
-77.5,8, phh2o ,3059,5.5917, NAMERICA
-77,0, phh2o ,3091,6.10765, SAMERICA
-77,0.5, phh2o ,3091,6.17876, SAMERICA
-77,1, phh2o ,3091,6.26278, SAMERICA
-77,1.5, phh2o ,3090,6.25256, SAMERICA
-77,2, phh2o ,3089,6.27454, SAMERICA
-77,2.5, phh2o ,3088,5.79514, SAMERICA
-77,3, phh2o ,3086,5.29388, SAMERICA
-77,3.5, phh2o ,3085,5.45716, SAMERICA
-77,4, phh2o ,3083,5.53536, SAMERICA
-77,4.5, phh2o ,3081,5.33614, SAMERICA
-77,5, phh2o ,3078,5.46422, SAMERICA
-77,5.5, phh2o ,3076,5.6015, SAMERICA
-77,6, phh2o ,3073,5.86481, SAMERICA
-77,6.5, phh2o ,3070,5.99777, SAMERICA
-77,7, phh2o ,3067,6.04934, SAMERICA
-77,7.5, phh2o ,3063,5.89885, SAMERICA
-77,8, phh2o ,3059,7.12127, SAMERICA
-76.5,0, phh2o ,3091,5.51362, SAMERICA
-76.5,0.5, phh2o ,3091,5.80917, SAMERICA
-76.5,1, phh2o ,3091,6.41044, SAMERICA
-76.5,1.5, phh2o ,3090,6.22043, SAMERICA
-76.5,2, phh2o ,3089,6.269, SAMERICA
-76.5,2.5, phh2o ,3088,6.39956, SAMERICA
-76.5,3, phh2o ,3086,6.31401, SAMERICA
-76.5,3.5, phh2o ,3085,6.04297, SAMERICA
-76.5,4, phh2o ,3083,5.67202, SAMERICA
-76.5,4.5, phh2o ,3081,5.54908, SAMERICA
-76.5,5, phh2o ,3078,5.60912, SAMERICA
-76.5,5.5, phh2o ,3076,5.58197, SAMERICA
-76.5,6, phh2o ,3073,5.60134, SAMERICA
-76.5,6.5, phh2o ,3070,5.43723, SAMERICA
-76.5,7, phh2o ,3067,5.2428, SAMERICA
-76.5,7.5, phh2o ,3063,5.40395, SAMERICA
-76.5,8, phh2o ,3059,6.02378, SAMERICA
-76.5,8.5, phh2o ,3055,6.50843, SAMERICA
-76,0, phh2o ,3091,5.05731, SAMERICA
-76,0.5, phh2o ,3091,5.18441, SAMERICA
-76,1, phh2o ,3091,5.96052, SAMERICA
-76,1.5, phh2o ,3090,6.63723, SAMERICA
-76,2, phh2o ,3089,6.4437, SAMERICA
-76,2.5, phh2o ,3088,6.20857, SAMERICA
-76,3, phh2o ,3086,6.35028, SAMERICA
-76,3.5, phh2o ,3085,6.05569, SAMERICA
-76,4, phh2o ,3083,5.94662, SAMERICA
-76,4.5, phh2o ,3081,6.1938, SAMERICA
